id,key,value,type
7373728,highway,residential,regular
7373728,name,6th Street,regular
7373736,highway,residential,regular
7373736,name,Bluxome Street,regular
7448875,highway,residential,regular
7448875,name,Nelson Rising Lane,regular
7459901,leisure,park,regular
7459901,localwiki,sf/Buena Vista Park,regular
7459901,name,Buena Vista Park,regular
7459901,natural,wood,regular
7459901,wikidata,Q2749189,regular
8914977,highway,service,regular
8914977,name,Berwick Place,regular
8914977,service,alley,regular
8914977,county,"San Francisco, CA",tiger
8914977,name_base,Berwick,tiger
8914977,name_type,Pl,tiger
8915056,access,private,regular
8915056,highway,footway,regular
8915056,cfcc,A41,tiger
8915056,county,"San Francisco, CA",tiger
8915057,access,private,regular
8915057,highway,service,regular
8915057,cfcc,A41,tiger
8915057,county,"San Francisco, CA",tiger
8915057,separated,no,tiger
8915057,source,tiger_import_dch_v0.6_20070809,tiger
8915057,tlid,192292823,tiger
8915057,upload_uuid,bulk_upload.pl-4ddcfcfe-e298-4ca3-a789-35779f3bf445,tiger
8915058,highway,service,regular
8915058,service,alley,regular
8915058,cfcc,A41,tiger
8915058,county,"San Francisco, CA",tiger
8915059,access,private,regular
8915059,highway,service,regular
8915059,service,driveway,regular
8915059,sidewalk,no,regular
8915059,cfcc,A41,tiger
8915059,county,"San Francisco, CA",tiger
8915059,reviewed,no,tiger
8915062,bicycle,no,regular
8915062,bridge,yes,regular
8915062,street,5th Street,destination
8915062,highway,motorway_link,regular
8915062,ref,2A,junction
8915062,lanes,2,regular
8915062,layer,1,regular
8915062,oneway,yes,regular
8915062,cfcc,A63,tiger
8915062,county,"San Francisco, CA",tiger
8915063,access,private,regular
8915063,highway,service,regular
8915063,cfcc,A41,tiger
8915063,county,"San Francisco, CA",tiger
8915063,separated,no,tiger
8915063,source,tiger_import_dch_v0.6_20070809,tiger
8915063,tlid,192292841,tiger
8915063,upload_uuid,bulk_upload.pl-4ddcfcfe-e298-4ca3-a789-35779f3bf445,tiger
8915071,highway,pedestrian,regular
8915071,cfcc,A41,tiger
8915071,county,"San Francisco, CA",tiger
8915074,foot,yes,regular
8915074,highway,footway,regular
8915074,cfcc,A41,tiger
8915074,county,"San Francisco, CA",tiger
8915074,reviewed,no,tiger
8915075,foot,yes,regular
8915075,highway,footway,regular
8915075,cfcc,A41,tiger
8915075,county,"San Francisco, CA",tiger
8915075,reviewed,no,tiger
8915075,separated,no,tiger
8915075,source,tiger_import_dch_v0.6_20070809,tiger
8915075,tlid,192292738:192292739,tiger
8915075,upload_uuid,bulk_upload.pl-4ddcfcfe-e298-4ca3-a789-35779f3bf445,tiger
8915115,bicycle,no,regular
8915115,destination,Bryant Street;AT&T Park;Downtown,regular
8915115,highway,motorway_link,regular
8915115,lanes,3,regular
8915115,oneway,yes,regular
8915115,cfcc,A63,tiger
8915115,county,"San Francisco, CA",tiger
8915117,bicycle,no,regular
8915117,bridge,yes,regular
8915117,street,7th Street,destination
8915117,highway,motorway_link,regular
8915117,ref,1,junction
8915117,lanes,2,regular
8915117,layer,1,regular
8915117,advisory,35 mph,maxspeed
8915117,oneway,yes,regular
8915117,cfcc,A63,tiger
8915117,county,"San Francisco, CA",tiger
8915123,destination,Oakland,regular
8915123,ref,I 80 East,destination
8915123,highway,motorway_link,regular
8915123,lanes,1,regular
8915123,oneway,yes,regular
8915123,cfcc,A63,tiger
8915123,county,"San Francisco, CA",tiger
8915123,reviewed,no,tiger
8915151,bicycle,no,regular
8915151,destination,San Jose,regular
8915151,ref,US 101 South;I 80 West,destination
8915151,highway,motorway_link,regular
8915151,oneway,yes,regular
8915151,cfcc,A63,tiger
8915151,county,"San Francisco, CA",tiger
8915166,building,yes,regular
8915254,bicycle,no,regular
8915254,bridge,yes,regular
8915254,destination,Ninth Street;Civic Center,regular
8915254,highway,motorway_link,regular
8915254,lanes,2,regular
8915254,layer,2,regular
8915254,oneway,yes,regular
8915254,cfcc,A63,tiger
8915254,county,"San Francisco, CA",tiger
8915254,lanes,left|through,turn
8915261,bicycle,no,regular
8915261,destination,San Jose,regular
8915261,ref,US 101 South,destination
8915261,highway,motorway_link,regular
8915261,lanes,2,regular
8915261,oneway,yes,regular
8915261,cfcc,A63,tiger
8915261,county,"San Francisco, CA",tiger
8915263,bicycle,no,regular
8915263,bridge,yes,regular
8915263,destination,Golden Gate Bridge,regular
8915263,ref,US 101 North,destination
8915263,highway,motorway_link,regular
8915263,ref,1B,junction
8915263,lanes,2,regular
8915263,layer,1,regular
8915263,advisory,40 mph,maxspeed
8915263,oneway,yes,regular
8915263,cfcc,A63,tiger
8915263,county,"San Francisco, CA",tiger
8915263,reviewed,no,tiger
8915288,NHS,STRAHNET,regular
8915288,bicycle,no,regular
8915288,bridge,yes,regular
8915288,highway,motorway,regular
8915288,ref,433C,junction
8915288,lanes,2,regular
8915288,layer,2,regular
8915288,maxspeed,50 mph,regular
8915288,name,Central Freeway,regular
8915288,oneway,yes,regular
